quotation_id,quotation_date,print_category,quantity,standard_size,width,height,paper_type,gsm,colour_mode,sides,page_count,finishing_type,urgency,delivery_requirement,printing_cost,finishing_cost,delivery_cost,total_price,location,data_source,access_date,data_type
SYN-0038,,visiting cards,150,A4,,,bristol board,80.0,black and white,double-sided,,embossing,standard,island-wide courier,3177.72,1200.0,650.0,5027.72,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0039,,visiting cards,500,A3,,,ivory board,300.0,black and white,single-sided,,matte lamination,standard,delivery,6805.31,1500.0,350.0,8655.31,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0040,,visiting cards,500,A6,,,bond paper,250.0,black and white,double-sided,,gloss lamination,urgent (1-2 days),self-collection,7518.42,1500.0,0.0,10822.1,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0041,,flyers,200,A4,,,bristol board,250.0,black and white,double-sided,,spot UV,standard,island-wide courier,6268.95,2400.0,650.0,9318.95,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0042,,flyers,500,A5,,,art paper,120.0,full colour,double-sided,,perforation,urgent (1-2 days),island-wide courier,14144.0,1000.0,650.0,18822.8,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0043,,flyers,100,A5,,,bond paper,120.0,black and white,double-sided,,gloss lamination,rush (same/next day),delivery,2033.74,300.0,350.0,3500.55,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0044,,flyers,750,A6,,,sticker paper,300.0,full colour,single-sided,,spot UV,urgent (1-2 days),self-collection,15555.0,9000.0,0.0,29466.0,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0045,,flyers,2000,A5,,,bond paper,300.0,full colour,double-sided,,gloss lamination,rush (same/next day),delivery,52704.0,6000.0,350.0,79600.4,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0046,,flyers,300,A4,,,bristol board,300.0,full colour,double-sided,,binding,rush (same/next day),delivery,14007.55,4500.0,350.0,25335.2,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0047,,flyers,750,A5,,,ivory board,350.0,full colour,single-sided,,binding,rush (same/next day),self-collection,20240.62,11250.0,0.0,42512.34,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0048,,flyers,200,A4,,,sticker paper,250.0,full colour,double-sided,,creasing,urgent (1-2 days),island-wide courier,6888.96,400.0,650.0,9396.75,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0049,,flyers,1000,A5,,,bond paper,350.0,full colour,single-sided,,perforation,rush (same/next day),island-wide courier,17145.0,2000.0,650.0,26495.75,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0050,,flyers,200,A4,,,bristol board,350.0,black and white,single-sided,,matte lamination,standard,self-collection,4252.98,600.0,0.0,4852.98,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0051,,flyers,5000,A4,,,ivory board,80.0,black and white,double-sided,,binding,urgent (1-2 days),delivery,105000.0,75000.0,350.0,216350.0,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0052,,flyers,50,A4,,,ivory board,80.0,black and white,single-sided,,perforation,urgent (1-2 days),self-collection,875.0,100.0,0.0,1170.0,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0053,,flyers,1000,A6,,,ivory board,100.0,full colour,double-sided,,perforation,urgent (1-2 days),island-wide courier,30600.0,2000.0,650.0,39770.0,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0054,,flyers,1000,A4,,,bristol board,250.0,full colour,single-sided,,perforation,urgent (1-2 days),island-wide courier,22815.0,2000.0,650.0,30428.0,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0055,,flyers,1000,A3,,,bristol board,80.0,full colour,single-sided,,embossing,urgent (1-2 days),island-wide courier,19500.0,8000.0,650.0,33650.0,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0056,,flyers,150,A5,,,ivory board,100.0,black and white,single-sided,,gloss lamination,urgent (1-2 days),delivery,2597.17,450.0,350.0,4006.61,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0057,,flyers,1000,A3,,,art paper,250.0,full colour,single-sided,,binding,rush (same/next day),island-wide courier,17550.0,15000.0,650.0,44592.5,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0058,,flyers,750,A4,,,art paper,250.0,full colour,double-sided,,binding,urgent (1-2 days),island-wide courier,23868.0,11250.0,650.0,42791.6,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0059,,flyers,200,A6,,,ivory board,120.0,black and white,double-sided,,binding,urgent (1-2 days),island-wide courier,5358.08,3000.0,650.0,10679.7,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0060,,flyers,1000,A6,,,sticker paper,100.0,full colour,single-sided,,none,standard,island-wide courier,15300.0,0.0,650.0,15950.0,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0061,,leaflets,1000,A5,,,art paper,100.0,full colour,double-sided,,embossing,standard,delivery,24480.0,8000.0,350.0,32830.0,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0062,,leaflets,750,A3,,,ivory board,120.0,black and white,double-sided,,creasing,standard,island-wide courier,18564.0,1500.0,650.0,20714.0,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0063,,leaflets,200,A4,,,art paper,350.0,black and white,single-sided,,spot UV,standard,self-collection,3271.52,2400.0,0.0,5671.52,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0064,,leaflets,150,A3,,,art paper,250.0,full colour,single-sided,,foil finishing,urgent (1-2 days),self-collection,3404.7,1500.0,0.0,5885.64,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0065,,leaflets,300,A4,,,sticker paper,80.0,full colour,single-sided,,binding,urgent (1-2 days),island-wide courier,5520.0,4500.0,650.0,12674.0,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0066,,leaflets,5000,A5,,,bond paper,350.0,full colour,single-sided,,gloss lamination,rush (same/next day),self-collection,85725.0,15000.0,0.0,135978.75,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0067,,leaflets,750,A3,,,bristol board,350.0,full colour,single-sided,,none,urgent (1-2 days),delivery,21050.25,0.0,350.0,25610.3,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0068,,leaflets,500,A5,,,ivory board,350.0,full colour,single-sided,,matte lamination,rush (same/next day),island-wide courier,13493.75,1500.0,650.0,20891.56,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0069,,leaflets,2000,A5,,,ivory board,250.0,full colour,double-sided,,embossing,standard,self-collection,70200.0,16000.0,0.0,86200.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0070,,leaflets,200,A4,,,sticker paper,250.0,full colour,double-sided,,none,urgent (1-2 days),delivery,6888.96,0.0,350.0,8616.75,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0071,,leaflets,200,A4,,,bristol board,120.0,full colour,double-sided,,foil finishing,rush (same/next day),self-collection,7960.58,2000.0,0.0,13446.78,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0072,,leaflets,200,A6,,,ivory board,350.0,black and white,double-sided,,creasing,rush (same/next day),island-wide courier,6543.04,400.0,650.0,10023.1,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0073,,leaflets,50,A5,,,bristol board,80.0,full colour,single-sided,,spot UV,urgent (1-2 days),island-wide courier,1300.0,600.0,650.0,2930.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0074,,leaflets,2000,A5,,,bristol board,300.0,full colour,double-sided,,embossing,rush (same/next day),delivery,76128.0,16000.0,350.0,124722.8,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0075,,leaflets,300,A4,,,art paper,100.0,full colour,single-sided,,gloss lamination,rush (same/next day),island-wide courier,5630.4,900.0,650.0,9466.04,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0076,,leaflets,200,A4,,,ivory board,350.0,full colour,double-sided,,gloss lamination,standard,delivery,9347.2,600.0,350.0,10297.2,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0077,,leaflets,150,A5,,,art paper,120.0,full colour,single-sided,,none,standard,island-wide courier,3026.4,0.0,650.0,3676.4,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0078,,leaflets,1000,A4,,,art paper,80.0,full colour,double-sided,,creasing,urgent (1-2 days),delivery,24000.0,2000.0,350.0,31550.0,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0079,,leaflets,300,A3,,,art paper,250.0,full colour,single-sided,,creasing,standard,island-wide courier,6458.4,600.0,650.0,7708.4,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0080,,leaflets,150,A4,,,bristol board,300.0,black and white,single-sided,,gloss lamination,rush (same/next day),delivery,3230.68,450.0,350.0,5318.92,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0081,,brochures,750,A3,,,ivory board,250.0,full colour,double-sided,,foil finishing,rush (same/next day),island-wide courier,52211.25,7500.0,650.0,81260.19,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0082,,brochures,100,A3,,,bond paper,100.0,black and white,double-sided,,matte lamination,standard,self-collection,3490.6,300.0,0.0,3790.6,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0083,,brochures,50,A5,,,ivory board,250.0,full colour,double-sided,,none,standard,delivery,4095.0,0.0,350.0,4445.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0084,,brochures,100,A4,,,bond paper,350.0,black and white,double-sided,,binding,standard,island-wide courier,4346.14,1500.0,650.0,6496.14,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0085,,brochures,300,A5,,,art paper,100.0,black and white,single-sided,,foil finishing,rush (same/next day),island-wide courier,6897.24,3000.0,650.0,14011.27,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0086,,brochures,100,A6,,,bristol board,250.0,full colour,double-sided,,perforation,rush (same/next day),delivery,8262.07,200.0,350.0,11773.8,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0087,,brochures,5000,A3,,,ivory board,80.0,full colour,double-sided,,none,standard,self-collection,262500.0,0.0,0.0,262500.0,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0088,,brochures,5000,A6,,,bond paper,80.0,full colour,double-sided,,foil finishing,standard,island-wide courier,189000.0,50000.0,650.0,239650.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0089,,brochures,100,A4,,,bristol board,250.0,full colour,double-sided,,embossing,rush (same/next day),self-collection,8262.07,800.0,0.0,12233.8,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0090,,brochures,750,A3,,,ivory board,350.0,full colour,double-sided,,perforation,standard,delivery,56673.75,1500.0,350.0,58523.75,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0091,,brochures,300,A3,,,art paper,120.0,black and white,double-sided,,perforation,urgent (1-2 days),delivery,11251.97,600.0,350.0,14572.36,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0092,,brochures,2000,A4,,,sticker paper,120.0,full colour,double-sided,,none,standard,delivery,87360.0,0.0,350.0,87710.0,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0093,,brochures,1000,A5,,,ivory board,350.0,black and white,single-sided,,spot UV,rush (same/next day),self-collection,29170.31,12000.0,0.0,55579.92,Gampaha,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0094,,brochures,50,A4,,,ivory board,300.0,black and white,single-sided,,gloss lamination,urgent (1-2 days),self-collection,1868.12,150.0,0.0,2421.75,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0095,,brochures,300,A4,,,bristol board,300.0,full colour,double-sided,,creasing,standard,delivery,24513.22,600.0,350.0,25463.22,Matara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0096,,brochures,200,A5,,,sticker paper,300.0,black and white,single-sided,,foil finishing,urgent (1-2 days),delivery,5499.76,2000.0,350.0,9349.71,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0097,,brochures,300,A5,,,bristol board,350.0,black and white,double-sided,,creasing,rush (same/next day),delivery,17862.5,600.0,350.0,25274.37,Jaffna,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0098,,brochures,2000,A6,,,ivory board,300.0,full colour,double-sided,,spot UV,rush (same/next day),self-collection,128100.0,24000.0,0.0,205335.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0099,,brochures,750,A4,,,bristol board,80.0,full colour,double-sided,,binding,rush (same/next day),island-wide courier,46410.0,11250.0,650.0,78491.0,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0100,,brochures,50,A6,,,sticker paper,100.0,black and white,double-sided,,creasing,standard,island-wide courier,1999.2,100.0,650.0,2749.2,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0101,,booklets,150,A6,,,bond paper,250.0,full colour,single-sided,12.0,foil finishing,urgent (1-2 days),island-wide courier,20330.29,1500.0,650.0,26846.34,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0102,,booklets,2000,A5,,,bristol board,250.0,black and white,double-sided,32.0,gloss lamination,standard,island-wide courier,683882.0,6000.0,650.0,690532.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0103,,booklets,100,A3,,,art paper,250.0,full colour,single-sided,12.0,matte lamination,rush (same/next day),delivery,13837.25,300.0,350.0,19435.29,Colombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0104,,booklets,50,A6,,,bristol board,120.0,full colour,double-sided,32.0,matte lamination,standard,island-wide courier,18204.0,150.0,650.0,19004.0,Kalutara,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0105,,booklets,150,A4,,,bond paper,100.0,full colour,single-sided,16.0,spot UV,urgent (1-2 days),island-wide courier,25839.22,1800.0,650.0,33817.07,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0106,,booklets,300,A4,,,bristol board,250.0,full colour,single-sided,16.0,foil finishing,rush (same/next day),island-wide courier,55494.9,3000.0,650.0,79618.12,Kandy,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0107,,booklets,500,A6,,,bristol board,300.0,full colour,double-sided,4.0,creasing,urgent (1-2 days),self-collection,41962.0,1000.0,0.0,51554.4,Kurunegala,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0108,,booklets,200,A6,,,sticker paper,250.0,full colour,double-sided,4.0,foil finishing,standard,island-wide courier,14611.2,2000.0,650.0,17261.2,Kaduwela,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0109,,booklets,5000,A4,,,art paper,350.0,full colour,double-sided,24.0,spot UV,rush (same/next day),delivery,1340500.0,60000.0,350.0,1891025.0,Negombo,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
SYN-0110,,booklets,300,A5,,,bond paper,350.0,black and white,single-sided,4.0,foil finishing,urgent (1-2 days),self-collection,14520.69,3000.0,0.0,21024.83,Galle,Synthetic rule-based generation (see pricing rules in this notebook),,Synthetic prototype record
